Rk,Player,Age,G,MP,FG%,Dist.,2P FGA%,0-3 FGA%,3-10 FGA%,10-16 FGA%,16-3P FGA%,3P FGA%,2P FG%,0-3 FG%,3-10 FG%,10-16 FG%,16-3P FG%,3P FG%,2P % Astd,3P % Astd,%FGA Dunks,# Dunks,%3PA Corner,3P% Corner,Att. Heaves,# Heaves,Player_Name
1,Jayson Tatum,24,74,2732,0.466,14.8,0.56,0.235,0.208,0.058,0.06,0.44,0.558,0.738,0.457,0.389,0.366,0.35,0.515,0.646,0.065,91,0.08,0.455,0,0,Jayson_Tatum
2,Jaylen Brown,26,67,2405,0.491,13.9,0.648,0.245,0.204,0.104,0.095,0.352,0.576,0.737,0.475,0.542,0.412,0.335,0.477,0.687,0.053,64,0.125,0.279,1,0,Jaylen_Brown
3,Derrick White,28,82,2319,0.462,16.1,0.484,0.16,0.22,0.08,0.024,0.516,0.548,0.719,0.461,0.508,0.333,0.381,0.502,0.899,0.018,11,0.284,0.387,0,0,Derrick_White
4,Grant Williams,24,79,2045,0.454,17.5,0.389,0.137,0.2,0.046,0.006,0.611,0.546,0.738,0.463,0.364,0.333,0.395,0.594,0.957,0.032,15,0.416,0.421,2,0,Grant_Williams
5,Marcus Smart,28,61,1957,0.415,17.5,0.432,0.143,0.204,0.058,0.027,0.568,0.519,0.733,0.431,0.429,0.25,0.336,0.274,0.852,0.008,4,0.196,0.343,3,0,Marcus_Smart
6,Al Horford,36,63,1922,0.476,18.8,0.322,0.14,0.123,0.038,0.021,0.678,0.539,0.672,0.525,0.278,0.2,0.446,0.675,0.993,0.023,11,0.378,0.488,0,0,Al_Horford
7,Malcolm Brogdon,30,67,1744,0.484,14.6,0.594,0.195,0.24,0.083,0.075,0.406,0.51,0.622,0.432,0.475,0.509,0.444,0.342,0.659,0.007,5,0.158,0.447,0,0,Malcolm_Brogdon
8,Sam Hauser,25,80,1290,0.455,22.4,0.154,0.078,0.048,0.013,0.015,0.846,0.656,0.839,0.526,0.6,0.167,0.418,0.775,0.979,0.013,3,0.307,0.437,2,0,Sam_Hauser
9,Robert Williams,25,35,824,0.747,3,0.994,0.682,0.276,0.024,0.012,0.006,0.751,0.879,0.489,0.5,0,0,0.685,,0.341,56,1,0,0,0,Robert_Williams
10,Luke Kornet,27,69,804,0.665,4.6,0.924,0.671,0.212,0.041,0,0.076,0.701,0.754,0.611,0.286,,0.231,0.764,1,0.376,60,0.538,0.286,1,0,Luke_Kornet
11,Payton Pritchard,25,48,643,0.412,19.2,0.371,0.167,0.118,0.033,0.053,0.629,0.495,0.61,0.414,0.375,0.385,0.364,0.444,0.875,0.004,0,0.195,0.3,3,0,Payton_Pritchard
12,Blake Griffin,33,41,569,0.485,14,0.492,0.323,0.162,0.008,0,0.508,0.625,0.69,0.524,0,,0.348,0.775,1,0.062,8,0.318,0.333,0,0,Blake_Griffin
13,Mike Muscala,31,20,323,0.472,20.3,0.27,0.079,0.124,0.056,0.011,0.73,0.708,0.571,0.909,0.4,1,0.385,0.824,1,0.022,2,0.369,0.417,0,0,Mike_Muscala
14,Noah Vonleh,27,23,171,0.458,6.8,0.833,0.458,0.292,0.083,0,0.167,0.5,0.727,0.143,0.5,,0.25,0.2,1,0.208,5,0.75,0.333,0,0,Noah_Vonleh
15,Justin Jackson,27,23,107,0.259,21.1,0.259,0.074,0.074,0.074,0.037,0.741,0.286,0.5,0,0.5,0,0.25,0.5,0.8,0,0,0.3,0.167,0,0,Justin_Jackson
16,JD Davison,20,12,66,0.421,15.9,0.632,0.053,0.211,0.316,0.053,0.368,0.5,1,0.5,0.333,1,0.286,0.5,1,0,0,0,,0,0,JD_Davison
17,Mfiondu Kabengele,25,4,36,0.286,12.7,0.571,0.429,0.143,0,0,0.429,0.5,0.667,0,,,0,0.5,,0.429,2,0.333,0,0,0,Mfiondu_Kabengele
18,Justin Champagnie,21,2,23,0.167,13.1,0.583,0.083,0.5,0,0,0.417,0.143,0,0.167,,,0.2,0,1,0,0,0.4,0,0,0,Justin_Champagnie
